순번,도서명,저자,발행처,발행년
87,(실용)기계설계와 최적화기법,이장무 외 공역,동명사,1996
88,중국어학습사전,차경섭 편저,전인출판사,1996
89,공민왕과 노국공주.2,이준범 저,민예사,1994
90,(패자)중이.1권:고원의 황사바람,미야기다니마사미쓰 지음;양억관 옮김,대산출판사,1997
91,황사혈풍.3:왜곡된 사실,와룡생 지음;선우옥 옮김,경운,1994
92,황사혈풍.4:악자의 최후,와룡생 지음;선우옥 옮김,경운,1994
93,야율초재.(상),진순신 지음;이주영 옮김,한국경제신문,1996
94,야율초재.(하),진순신 지음;이주영 옮김,한국경제신문,1996
95,끝없는 출사표,최원극 저,홍익재,1989
96,한국의 박물관:등록박물관 관람안내,문화체육부 편,문화체육부,1993
97,너의 꿈을 펼쳐라,이원숙 지음,김영사,1993
98,천부경의 비밀과 백두산족 문화,권태훈 [구술];안기석 [연구];정재승 엮음,정신세계사,1989
99,(최신)교정학,정갑섭 저,경기도서,1997
100,(최신)전자전기용어사전,세화편집부 편,세화,1999
101,(최신)전자전기용어사전,세화편집부 편,세화,1998
102,(민중 엣센스)영한사전,민중서림편집국 편,민중서림,1998
103,(신)전기설비기술계산핸드북,정용기 역,의제전기설비연구원,2007
104,컴퓨터·인터넷 용어 큰 사전,전기용어사전편찬위원회 지음,일진사,1999
105,첨단기계용어사전,첨단편집부 편,성안당,1997
106,(Total)전기·전자 용어사전,전기전자용어사전편찬위원회 엮음,탐구원,1998
107,금융기관경영론,손정식;강병호;허영빈 공저,박영사,1986
108,건축설비집성.3:거주시설 - 계획 ·설계,한미편집부 [역편],한미,1997
109,(신판)전기공학대사전.(상),일본전기학회 편;한국전력기술인협회 [역편],기다리,2001
110,(신판)전기공학대사전.(하),일본전기학회 편;한국전력기술인협회 [역편],기다리,2001
111,(최신)전기자기학,윤희상 외 공저,복두출판사,2002
112,센서사전,타카하시키요시 외 저;이봉훈 역,세화,1998
113,(건축전기설비의)설계 · 시공 관리실무핸드북.(상권),윤민옥 편저,대신기술,2000
114,(건축전기설비의)설계 · 시공 관리실무핸드북.(하권),윤민옥 편저,대신기술,2000
115,건축계획문제연구.Ⅰ,남재호;이기동 공저,세진사,1996
116,(퍼스널 컴퓨터에 의한)공기조화계산법,한미편집부 [편역],한미,2001
117,(현장실무를 위한)전기기술,김정철 저,기다리,2001
118,덕트설계시공편람,한미편집부 [편역],한미,2000
119,냉동공조의 이론과 실제,위용호 편저,한미,2002
120,기계공작법,김동원 저,청문각,1998
121,기계공작법,김동원 저,청문각,2001
122,기초전기전자,이병효 저,동일출판사,2000
123,기초전기전자,이병효 저,동일출판사,2003
124,"(ISO, KS 규격에 의한)기하공차",최호선 저,성안당,2002
125,"(ISO, KS 규격에 의한)기하공차",최호선 저,성안당,2002
126,정보통신기기,김장권;이상회;최수열 공저,복두출판사,2002
127,(최신)전자공학실험,이두복 저,동일출판사,2003
128,일반물리학,한성윤 외 공저,형설출판사,1997
129,(academy)영문순해:Reading comprehension,이명재 저,송광,1994
130,(academy)영문순해:Reading comprehension,이명재 저,송광,1994
131,(Mathematica를 이용한)대학수학,이임걸;오흥준;정인영 공저,복두출판,1998
132,정력학,Ferdinand P. Beer 외 지음;김광식;장동일 옮김,동명사,1987
133,독립유공자공훈록.17권:2006~2007년도 포상자,국가보춘처 편,국가보훈처,2009
134,독립유공자공훈록.17권:2006~2007년도 포상자,국가보춘처 편,국가보훈처,2009
135,독립유공자공훈록.17권:2006~2007년도 포상자,국가보춘처 편,국가보훈처,2009
136,기계제도,이진식 외 공저,문운당,1998
137,CNC가공 및 CAD／CAM 시스템,서정필 외 공저,성안당,2005
138,(High tech)기계공작법,최인수 외 공저,복두출판사,1998
139,전기기기,원규식 외 공저,태영문화사,2010
140,(실무자를 위한)수·변전설비의 계획과 설계,이순형 저,기다리,2011
141,한국문화 상징사전.2,한국문화상징사전편찬위운회 편,두산동아,1996
142,(영한·일한)기계용어대사전,기계용어사전편찬위원회 편,성안당,2008
143,(영한·일한)기계용어대사전,기계용어사전편찬위원회 편,성안당,2008
144,(공조 위생)기술데이터북,설비기술연구회 편,한미,2000
145,복식사회심리학,이인자 저,수학사,1997
146,비인간시대,황원갑 지음,제3문학사,1997
147,무역실무,김용복 저,박영사,1989
148,(표준)센서용어사전,손병기 엮음,일진사,2000
