N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
185,KG동부제철,"11,850",50,-0.42%,"5,000","11,851","100,009",0.15,"101,115",14.38,-7.44,
186,DL,"76,400","1,400",+1.87%,"5,000","11,797","15,441",100.00,"2,320,935",4.04,11.74,
187,코오롱인더,"43,650",850,+1.99%,"5,000","11,776","26,979",15.84,"123,093",7.82,1.58,
188,DGB금융지주,"6,910",40,-0.58%,"5,000","11,688","169,146",47.31,"181,733",3.53,7.31,
189,롯데관광개발,"16,850",750,+4.66%,500,"11,673","69,276",4.79,"481,553",-24.74,-4.77,
190,보령제약,"21,950",100,+0.46%,500,"11,440","52,120",6.96,"342,548",39.34,11.96,
191,코스맥스,"113,000","2,500",+2.26%,500,"11,356","10,050",24.93,"225,490",27.97,10.45,
192,S&T모티브,"76,800","2,400",-3.03%,"5,000","11,231","14,623",26.71,"109,088",18.02,0.33,
193,롯데칠성,"125,000",0,0.00%,500,"11,219","8,975",10.66,"11,352",-12.82,-11.68,
194,JB금융지주,"5,620",20,-0.35%,"5,000","11,070","196,983",39.44,"204,233",3.20,10.36,
195,다우기술,"24,200",300,+1.26%,500,"10,858","44,867",22.70,"198,565",3.89,14.62,
196,KODEX 인버스,"3,800",65,-1.68%,0,"10,834","285,100",2.19,"32,433,756",N/A,N/A,
197,동원시스템즈,"41,550","4,700",+12.75%,"5,000","10,644","25,619",1.47,"224,730",23.61,8.69,
198,LG상사,"27,300",250,-0.91%,"5,000","10,581","38,760",22.46,"177,512",7.44,2.49,
199,한미반도체,"20,450",250,-1.21%,200,"10,532","51,502",5.21,"358,475",23.92,8.85,
200,GKL,"16,800",250,+1.51%,500,"10,392","61,856",6.45,"294,148",-78.14,12.62,
